Question_ID,Category,Section,English_Text,Arabic_Text,Notes
tongue_1,tongue,Lying,"Do you sometimes tell lies to avoid trouble or embarrassment?",,
tongue_2,tongue,Lying,"Do you find yourself exaggerating stories to sound more interesting?",,
tongue_5,tongue,Backbiting,"Do you listen and contribute when others gossip or backbite?",,
tongue_7,tongue,Backbiting,"Do you find it difficult to stop backbiting once it begins?",,
tongue_8,tongue,Arguments,"Do you raise your voice in arguments to assert yourself?",,
tongue_9,tongue,Negative Speech,"Do you speak negatively about people you disagree with?",,
tongue_10,tongue,Insincerity,"Do you praise others insincerely to win favour or avoid conflict?",,
tongue_11,tongue,Betraying Confidence,"Do you sometimes share things that were told to you in confidence?",,
tongue_12,tongue,Excessive Speech,"Do you speak more than necessary in situations that require silence?",,
tongue_13,tongue,Inappropriate Humor,"Do you joke about serious topics in a way that might be disrespectful?",,
tongue_15,tongue,Dominating Speech,"Do you dominate conversations or talk over others?",,
tongue_17,tongue,Impulsive Speech,"Do you say things impulsively and regret them later?",,
tongue_19,tongue,Thoughtless Speech,"Do you speak without considering the impact of your words?",,
tongue_20,tongue,Manipulation,"Do you use words to subtly make others feel inferior or guilty?",,
eyes_1,eyes,Inappropriate Viewing,"Do you look at images that are inappropriate or immodest?",,
eyes_2,eyes,Lowering Gaze,"Do you struggle to lower your gaze in public settings?",,
eyes_3,eyes,Inappropriate Content,"Do you watch videos or content that contradict your spiritual values?",,
eyes_4,eyes,Social Media,"Do you scroll through social media with curiosity for appearance-based posts?",,
eyes_5,eyes,Repeated Viewing,"Do you find yourself returning to visual content that you know is harmful?",,
eyes_6,eyes,Inappropriate Staring,"Do you stare at others in a way that might make them uncomfortable?",,
eyes_7,eyes,Indecent Entertainment,"Do you watch entertainment that includes excessive indecency?",,
eyes_8,eyes,Comparison,"Do you compare your appearance with others online or in public?",,
eyes_9,eyes,Envy,"Do you feel envy when you see others living a life you desire?",,
eyes_10,eyes,Seeking Provocative Content,"Do you seek out visually provocative material even after deciding not to?",,
eyes_12,eyes,Prayer Distraction,"Do you pay attention to things that distract you during prayer?",,
eyes_13,eyes,Judgmental Viewing,"Do you view people through a judgmental or critical lens?",,
eyes_14,eyes,Fantasy,"Do you catch yourself mentally undressing or fantasising about someone you see?",,
eyes_15,eyes,Assessing Others,"Do you look at people to assess their beauty or worth?",,
eyes_16,eyes,Public Curiosity,"Do you indulge in visual curiosity when walking or in public transport?",,
eyes_17,eyes,Rationalization,"Do you rationalise watching certain shows because of the storyline, despite their visual content?",,
eyes_18,eyes,Social Media Following,"Do you follow accounts or media pages primarily for how people look?",,
eyes_20,eyes,Post-Viewing Effects,"Do you feel uneasy or distracted after prolonged exposure to visual content?",,
ears_1,ears,Listening to Backbiting,"Do you listen to people backbiting or speaking ill of others without stopping them?",,
ears_2,ears,Enjoying Gossip,"Do you enjoy hearing gossip or rumours about others?",,
ears_3,ears,Enjoying Mockery,"Do you find it entertaining to hear mocking or sarcastic remarks about people?",,
ears_4,ears,Inappropriate Content,"Do you listen to music or content with inappropriate or vulgar themes?",,
ears_5,ears,Enabling Slander,"Do you fail to walk away when someone starts slandering another person?",,
ears_6,ears,Silent Complicity,"Do you stay silent while others speak in a way that dishonours someone absent?",,
ears_8,ears,Contradictory Content,"Do you listen to shows or podcasts that promote values against your beliefs?",,
ears_9,ears,False Flattery,"Do you enjoy hearing compliments or flattery that you know are exaggerated or insincere?",,
ears_10,ears,Privacy Violation,"Do you listen with interest when people reveal private matters of others?",,
ears_11,ears,Drama Content,"Do you enjoy tuning in to dramatic or scandal-driven content?",,
ears_12,ears,Eavesdropping,"Do you eavesdrop on conversations not meant for you?",,
ears_13,ears,Conflict Exposure,"Do you stay in situations where people are arguing or verbally attacking one another?",,
ears_14,ears,Failure to Advise,"Do you fail to advise someone kindly when they speak inappropriately in your presence?",,
ears_16,ears,Pleasure in Scandal,"Do you find pleasure in overhearing shocking or shameful things?",,
ears_17,ears,Spiritual Impact,"Do you feel affected or spiritually down after hearing inappropriate conversations or media?",,
ears_18,ears,Ignoring Ridicule,"Do you pretend not to notice when someone is being ridiculed nearby?",,
ears_19,ears,Tolerating Indecency,"Do you ignore or tolerate indecent language in music or entertainment?",,
ears_20,ears,Harmful Social Groups,"Do you continue to engage with friends or groups that often indulge in harmful speech?",,
pride_1,pride,Intellectual Superiority,"Do you often feel you are more knowledgeable or qualified than others?",,
pride_3,pride,Social Superiority,"Do you look down on people from different backgrounds or social classes?",,
pride_4,pride,Rejection of Criticism,"Do you find it difficult to accept criticism, especially from those you see as inferior?",,
pride_5,pride,Jealousy of Praise,"Do you feel discomfort when others are praised more than you?",,
pride_6,pride,Seeking Recognition,"Do you enjoy being recognised or praised publicly?",,
pride_8,pride,Expecting Acknowledgment,"Do you believe others should acknowledge your contributions more than they do?",,
pride_9,pride,Inability to Admit Error,"Do you struggle to admit when you are wrong?",,
pride_10,pride,Difficulty Apologizing,"Do you find it difficult to apologise even when you know you should?",,
pride_11,pride,Expecting Deference,"Do you feel that others should follow your opinion because of your experience or knowledge?",,
pride_12,pride,Sense of Importance,"Do you think people are lucky to have you in their lives, workplace, or group?",,
pride_13,pride,Hypocrisy,"Do you hide your faults while pointing out the faults of others?",,
pride_14,pride,Envy of Excellence,"Do you feel annoyed or envious when someone excels in a way you have not?",,
pride_15,pride,Show-off Helping,"Do you sometimes help others primarily to be seen as helpful?",,
pride_16,pride,Refusing Humble Service,"Do you hesitate to serve in roles or tasks you consider beneath you?",,
pride_17,pride,Social Media Validation,"Do you seek validation through social media or public acknowledgement?",,
pride_18,pride,Social Exclusion,"Do you avoid associating with those you perceive as less refined or educated?",,
pride_19,pride,Fear of Vulnerability,"Do you feel that admitting weakness would make people respect you less?",,
stomach_1,stomach,Overeating,"Do you eat more than your body needs on a regular basis?",,
stomach_2,stomach,Mindless Eating,"Do you eat even when you are not hungry, out of boredom or habit?",,
stomach_3,stomach,Post-Eating Guilt,"Do you feel discomfort or guilt after overeating?",,
stomach_4,stomach,Luxury Indulgence,"Do you indulge in expensive or luxurious food more than necessary?",,
stomach_5,stomach,Halal Concerns,"Do you ignore whether your food was obtained from halal earnings?",,
stomach_6,stomach,Secret Eating,"Do you eat in secret to avoid judgment about quantity or type of food?",,
stomach_7,stomach,Impulsive Eating,"Do you make impulsive food choices that go against your dietary or spiritual goals?",,
stomach_8,stomach,Mindless Snacking,"Do you frequently snack without being mindful of your intake?",,
stomach_9,stomach,Doubtful Consumption,"Do you consume food or drink that you suspect may be doubtful or haram?",,
stomach_10,stomach,Ramadan Struggles,"Do you find it difficult to fast or control your eating during Ramadan?",,
stomach_11,stomach,Food Prioritization,"Do you over-prioritise food when planning your day or social interactions?",,
stomach_12,stomach,Emotional Eating,"Do you feel emotionally dependent on eating to feel better?",,
stomach_13,stomach,Indulgent Consumption,"Do you pursue culinary experiences purely for indulgence, rather than sustenance or gratitude?",,
stomach_14,stomach,Inability to Refuse,"Do you struggle to say ""no"" to treats even when you know you should?",,
stomach_15,stomach,Food Waste,"Do you let food waste occur without concern?",,
stomach_16,stomach,Ungrateful Eating,"Do you eat quickly without gratitude or reflection?",,
stomach_17,stomach,Food as Reward,"Do you use food to reward yourself for unrelated behaviours?",,
stomach_18,stomach,Suppressing Guilt,"Do you ignore or suppress guilt about your food habits?",,
stomach_19,stomach,Misplaced Priorities,"Do you prioritise food purchases over more important or spiritual needs?",,
stomach_20,stomach,Forgotten Gratitude,"Do you forget to say Bismillah or Alhamdulillah when eating and finishing meals?",,
zina_1,zina,Suggestive Conversations,"Do you engage in conversations that become emotionally or sexually suggestive?",,
zina_3,zina,Fantasy,"Do you dwell on romantic or physical fantasies about someone who is not your spouse?",,
zina_4,zina,Sexual Content,"Do you watch films, videos, or shows that depict or normalise sexual behaviour outside of marriage?",,
zina_5,zina,Returning to Temptation,"Do you return to certain content or apps that lead you into temptation?",,
zina_6,zina,Compromising Environments,"Do you find yourself spending time in environments that weaken your self-control?",,
zina_7,zina,Gaze Control,"Do you struggle to control your gaze when encountering someone you find attractive?",,
zina_8,zina,Avoiding Modesty,"Do you delay or avoid taking practical steps to guard your modesty?",,
zina_9,zina,Alone Time,"Do you make excuses for spending time alone with someone of the opposite sex?",,
zina_10,zina,Emotional Attachment,"Do you feel emotional attachment growing with someone who is not lawful for you?",,
zina_11,zina,Physical Contact,"Do you rationalise physical touch or closeness with someone outside of marriage?",,
zina_12,zina,Social Media Temptation,"Do you revisit or follow people on social media who stimulate lustful thoughts?",,
zina_14,zina,Shameful Behaviour,"Do you engage in behaviour that you would be ashamed of if others knew?",,
zina_15,zina,Seeking Interaction,"Do you seek out opportunities for inappropriate interaction with the opposite sex?",,
zina_16,zina,Justification,"Do you justify your actions by comparing them to ""worse"" behaviours?",,
zina_17,zina,Boundary Erosion,"Do you find yourself making compromises in your boundaries over time?",,
zina_18,zina,Ignoring Warning Signs,"Do you ignore warning signs that a relationship or situation is becoming inappropriate?",,
zina_19,zina,Guilt and Continuation,"Do you feel guilty after certain interactions but continue the behaviour?",,
zina_20,zina,Secrecy,"Do you hide your interactions or relationships from family or close friends?",,
heart_1,heart,Envy,"Do you feel disturbed or unhappy when others receive blessings or recognition?",,
heart_2,heart,Envy,"Do you struggle to genuinely wish well for people you envy?",,
heart_3,heart,Resentment,"Do you carry resentment or grudges long after a conflict has ended?",,
heart_4,heart,Resentment,"Do you hope that someone who wronged you experiences misfortune?",,
heart_5,heart,Forgiveness,"Do you struggle to forgive others, even for small mistakes?",,
heart_6,heart,Show-off,"Do you perform good deeds hoping others will notice or praise you?",,
heart_7,heart,Religious Pride,"Do you feel your religious actions make you better than others?",,
heart_8,heart,Despair,"Do you feel spiritually hopeless because of your past mistakes?",,
heart_9,heart,Despair,"Do you sometimes believe your sins are too great to be forgiven?",,
heart_10,heart,Despair,"Do you feel overwhelmed with regret or despair when thinking about your spiritual shortcomings?",,
heart_11,heart,Self-Worth,"Do you constantly feel the need to prove your worth to others?",,
heart_12,heart,Self-Admiration,"Do you experience frequent self-admiration or thoughts of superiority?",,
heart_13,heart,Judgment,"Do you often find yourself judging the intentions or sincerity of others?",,
heart_14,heart,Lack of Compassion,"Do you struggle to show empathy or compassion for those who are suffering?",,
heart_15,heart,Lack of Compassion,"Do you feel annoyed or disconnected when others talk about emotional or spiritual struggles?",,
heart_16,heart,Material Pride,"Do you value yourself more than others because of your wealth, intelligence, or appearance?",,
heart_17,heart,Misplaced Priorities,"Do you fear losing status, control, or praise more than you fear losing spiritual sincerity?",,
heart_18,heart,People-Pleasing,"Do you often think about how others perceive you rather than how Allah sees you?",,
heart_19,heart,Spiritual Envy,"Do you feel frustrated when others achieve spiritual or personal growth before you?",,
heart_20,heart,Lack of Self-Reflection,"Do you neglect to reflect on your intentions before performing good actions?",,
